,AverageMInFile,ExternalRiskEstimate,MSinceMostRecentDelq,MSinceMostRecentInqexcl7days,MSinceMostRecentTradeOpen,MSinceOldestTradeOpen,MaxDelq2PublicRecLast12M,MaxDelqEver,NetFractionInstallBurden,NetFractionRevolvingBurden,NumBank2NatlTradesWHighUtilization,NumInqLast6M,NumInqLast6Mexcl7days,NumInstallTradesWBalance,NumRevolvingTradesWBalance,NumSatisfactoryTrades,NumTotalTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,NumTradesOpeninLast12M,PercentInstallTrades,PercentTradesNeverDelq,PercentTradesWBalance,label
9352,83,60,1,22,4,220,4,5,87,62,2,0,0,3,4,21,25,1,0,2,44,80,73,1
6705,23,58,-7,-7,2,129,7,8,74,74,2,4,2,4,8,21,23,0,0,7,36,100,93,0
765,80,83,-7,12,3,187,7,8,-8,13,2,1,1,1,3,29,30,0,0,1,33,100,50,1
10286,68,76,26,0,1,147,6,6,10,0,-8,4,4,2,0,30,35,0,0,3,49,94,50,1
444,84,77,-7,0,8,292,7,8,57,51,1,4,4,3,3,20,20,0,0,1,70,100,78,0
6193,77,73,-7,10,11,187,7,8,87,48,2,0,0,3,4,24,24,0,0,1,50,100,100,1
3647,85,61,7,15,5,185,4,6,83,57,3,0,0,2,16,34,15,0,0,2,26,94,95,1
6877,74,66,26,0,6,165,6,6,95,27,0,2,2,3,1,36,36,1,1,4,42,92,33,0
2911,128,80,-7,2,18,276,7,8,76,17,0,1,1,3,5,24,36,0,0,0,13,100,69,1
7098,46,76,-7,7,5,85,7,8,37,34,0,0,0,2,6,19,19,0,0,2,37,100,80,1
8308,85,81,-7,1,6,222,7,8,80,16,0,2,2,2,3,39,40,0,0,3,45,100,38,1
6922,56,64,-7,4,3,243,7,8,78,55,5,1,1,3,9,24,24,0,0,2,25,100,80,0
4877,143,78,-7,2,21,265,7,8,-8,47,1,3,3,1,10,37,38,0,0,0,21,100,63,1
2854,48,59,3,17,6,134,4,4,91,49,0,0,0,3,4,11,26,1,1,2,40,60,70,0
556,70,73,48,-7,20,103,6,6,-8,34,0,0,0,-8,1,6,7,0,0,0,29,71,100,1
2465,93,84,28,-7,4,241,6,6,100,8,0,1,1,2,2,17,40,0,0,3,53,95,67,0
7452,24,55,1,0,6,37,3,5,-8,13,1,0,0,1,2,6,7,1,0,2,57,86,75,0
3838,67,81,-7,9,2,165,7,8,33,7,0,0,0,3,6,36,33,0,0,4,22,100,75,1
5243,71,66,0,0,8,164,4,5,30,17,0,4,4,6,3,24,27,1,0,1,30,85,75,0
2631,47,74,-7,-7,3,148,7,8,-8,0,0,1,1,4,0,24,67,0,0,6,32,100,40,0
1024,80,73,12,0,2,126,6,2,-8,25,0,1,1,1,2,23,25,1,1,1,24,88,43,1
3372,31,71,-7,0,4,126,6,8,79,34,0,2,2,2,4,9,9,1,1,3,22,100,75,1
1977,56,61,3,0,4,114,0,2,-8,69,1,0,0,-8,4,6,7,1,1,3,0,86,100,0
3582,97,72,-7,0,14,208,7,8,83,35,3,1,1,2,8,33,26,0,0,0,18,100,48,0
6338,57,82,72,0,5,115,6,5,-8,9,0,6,6,-8,2,19,21,1,0,2,24,95,20,1
308,107,76,-7,0,6,269,5,7,2,42,1,0,0,2,3,32,32,1,1,3,31,97,75,1
4242,51,44,1,0,3,219,4,4,85,75,2,2,2,5,5,40,45,1,1,4,58,87,63,0
1718,76,86,-7,0,3,203,7,8,70,4,0,0,0,3,4,17,17,0,0,2,24,100,58,1
307,69,68,-7,0,9,220,7,8,59,95,2,2,2,4,4,27,27,0,0,3,44,100,100,0
9687,73,69,62,1,14,136,6,2,86,3,0,1,1,2,1,16,20,4,3,0,50,70,60,0
1780,79,63,38,0,2,204,6,2,79,77,2,2,2,3,4,21,26,4,4,2,73,85,70,0
4095,94,84,12,9,3,220,6,6,95,5,0,0,0,3,1,37,37,0,0,3,30,97,40,0
5438,124,56,4,4,5,370,4,6,88,39,3,1,1,2,11,28,31,0,0,3,16,84,54,1
6159,46,76,-7,23,24,102,7,8,24,-8,-8,0,0,3,-8,7,7,0,0,0,100,100,100,1
2096,67,68,6,0,3,150,4,6,71,69,1,3,3,3,3,20,20,0,0,4,60,90,75,0
8210,74,59,1,0,9,389,4,6,81,63,2,2,2,3,9,42,47,0,0,2,32,83,68,0
2834,91,68,4,3,4,-8,4,6,58,40,2,1,1,3,4,22,0,0,0,1,45,95,78,0
4701,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
